Street,City,State,neighborhood_name,crime_rate
6679 Baker Passage Suite 631,Trenton,NJ,Downtown Camden,1.3
303 Andrew Hill,Elizabeth,NJ,Downtown Camden,1.3
0080 Walker Mountain Suite 704,Syracuse,NY,Lower West Side,1.5
354 Medina Fields Apt. 684,Syracuse,NY,Upper East Side,8.0
79475 Ashley Meadow Suite 908,New Haven,CT,Downtown New London,3.2
48117 Reynolds Loop,Albany,NY,South Staten Island,6.3
2134 Cervantes Falls,New York,NY,Midtown West,6.1
41291 Stephen Garden,Buffalo,NY,West Bronx,1.7
661 Gonzalez Dale,Hartford,CT,Downtown New London,3.2
38838 Townsend Lock,New York,NY,Midtown West,6.1
15305 Murphy Lake,Buffalo,NY,West Bronx,1.7
88714 Weaver Row,New York,NY,Downtown Brooklyn,4.8
9348 Lauren Wells,Newark,NJ,Mid New Brunswick,7.6
98590 Anna Shores,Elizabeth,NJ,East Elizabeth,4.5
8530 Bryant Bridge Apt. 679,Elizabeth,NJ,East Elizabeth,4.5
90691 Lauren Greens Suite 188,Albany,NY,Lower West Side,1.5
34164 Anderson Lodge Suite 227,New Haven,CT,South Norwalk,7.0
65608 Munoz Point Suite 692,New York,NY,Lower West Side,1.5
920 Espinoza Rest Suite 281,Stamford,CT,East Hartford,2.7
940 Clark Land Apt. 471,Waterbury,CT,East Hartford,2.7
4016 Jessica Heights Suite 733,Bridgeport,CT,North New Haven,7.1
314 John Brook Suite 736,Paterson,NJ,Mid New Brunswick,7.6
578 Golden Brooks Apt. 293,Bridgeport,CT,East Hartford,2.7
4577 Tim Extension Suite 072,Hartford,CT,North New Haven,7.1
511 Steven Stravenue,Buffalo,NY,Upper East Side,8.0
38002 Marsh Shores,Stamford,CT,Downtown New London,3.2
1943 Prince Walk,Albany,NY,Upper East Side,8.0
8697 Mary Canyon Suite 478,Bridgeport,CT,South Norwalk,7.0
601 Montgomery Extensions Apt. 579,Bridgeport,CT,Downtown New London,3.2
73775 Gregory Vista,Stamford,CT,Downtown New London,3.2
4627 Rowe Drives Apt. 327,Hartford,CT,Downtown New London,3.2
54094 Castro Club,Syracuse,NY,West Bronx,1.7
23631 Teresa Expressway,Paterson,NJ,South Trenton,1.0
55104 Brown Court Suite 640,Stamford,CT,South Norwalk,7.0
5949 Davis Skyway,Waterbury,CT,Downtown New London,3.2
8383 Roberts Plaza,Newark,NJ,Mid New Brunswick,7.6
5519 Gonzalez Inlet,Elizabeth,NJ,South Trenton,1.0
3780 Denise Haven,Waterbury,CT,North New Haven,7.1
270 Wheeler Hollow Suite 467,Waterbury,CT,Downtown New London,3.2
480 Alan Extension,Stamford,CT,South Norwalk,7.0
6931 Courtney Drive,Waterbury,CT,East Hartford,2.7
7753 Torres Route Suite 687,Waterbury,CT,Downtown New London,3.2
05634 Misty Alley,Stamford,CT,East Hartford,2.7
61616 Jodi Loaf,Paterson,NJ,Downtown Camden,1.3
290 Kelly Wall Suite 290,Waterbury,CT,Downtown Stamford,9.4
70751 Thomas Spring,Jersey City,NJ,East Elizabeth,4.5
944 Kristi Neck,New York,NY,Upper East Side,8.0
252 Cooper Crest Suite 232,Paterson,NJ,Mid New Brunswick,7.6
36551 Heather Plains Suite 291,Jersey City,NJ,South Trenton,1.0
7768 John Mall,Newark,NJ,Mid New Brunswick,7.6
83586 Hines Cape,Rochester,NY,Lower East Side,6.8
78177 Thomas Wells Apt. 679,Waterbury,CT,East Hartford,2.7
124 Kenneth Pike,New Haven,CT,Downtown New London,3.2
4876 Andrew Overpass Suite 018,Trenton,NJ,East Elizabeth,4.5
470 Wendy Ridge Apt. 942,Waterbury,CT,North New Haven,7.1
14894 Kaylee Well,Jersey City,NJ,East Elizabeth,4.5
11971 Carlson Walk Apt. 922,Buffalo,NY,Upper East Side,8.0
2466 Albert Port Apt. 609,Albany,NY,Upper East Side,8.0
04516 Gonzalez Road Apt. 521,Syracuse,NY,Lower East Side,6.8
95175 Brandy Plain Suite 587,Rochester,NY,Northern Queens,9.3
21683 Thomas Locks Apt. 592,Bridgeport,CT,East Hartford,2.7
866 Yoder Glen,Buffalo,NY,South Bronx,3.6
2867 Tyler Freeway,Buffalo,NY,South Staten Island,6.3
32546 Warren Crossroad,Syracuse,NY,Northern Queens,9.3
451 Obrien Spur,Stamford,CT,Downtown Stamford,9.4
53039 Curtis Crest Apt. 849,Buffalo,NY,Midtown West,6.1
3605 Gavin Hill,Albany,NY,South Staten Island,6.3
31615 Anthony Spring Apt. 944,Jersey City,NJ,Mid New Brunswick,7.6
47784 Terry Parkways Apt. 810,Syracuse,NY,Lower East Side,6.8
34001 Patricia Freeway,Paterson,NJ,Downtown Camden,1.3
27561 Montes Haven Suite 978,Rochester,NY,Midtown West,6.1
5581 John Hills,Buffalo,NY,Lower East Side,6.8
14741 Eduardo Turnpike,Elizabeth,NJ,South Trenton,1.0
11800 Russell Circles,Buffalo,NY,West Bronx,1.7
02248 Daniel Mountain,Newark,NJ,East Elizabeth,4.5
146 Savage Estates,Newark,NJ,Downtown Camden,1.3
4229 David Forge Suite 853,Trenton,NJ,South Trenton,1.0
91410 Robert Crescent,Newark,NJ,Mid New Brunswick,7.6
97298 King Highway Apt. 087,Rochester,NY,North Staten Island,2.0
2114 Joyce Club Suite 719,Rochester,NY,North Staten Island,2.0
19233 Davis Route Apt. 892,Newark,NJ,South Trenton,1.0
695 Haynes Via Suite 487,Rochester,NY,Northern Queens,9.3
786 Christopher Wells,New York,NY,South Staten Island,6.3
1064 Jessica Plains Suite 851,Paterson,NJ,Mid New Brunswick,7.6
64193 Connor Inlet Apt. 801,Buffalo,NY,West Bronx,1.7
86537 Jimenez Prairie,Bridgeport,CT,East Hartford,2.7
23015 Jacob Street Suite 385,Stamford,CT,South Norwalk,7.0
271 Howell Corner,Waterbury,CT,Downtown New London,3.2
339 Thornton Station,Buffalo,NY,Lower East Side,6.8
7311 Johnson Stravenue,Paterson,NJ,Downtown Camden,1.3
72693 Andrew Fort,Elizabeth,NJ,South Trenton,1.0
14601 Mark Knoll,Elizabeth,NJ,Mid New Brunswick,7.6
7297 Thomas Shoals,Bridgeport,CT,North New Haven,7.1
766 Davis Union Apt. 721,Albany,NY,Northern Queens,9.3
433 Watson Path Apt. 004,Buffalo,NY,Lower East Side,6.8
208 John Stravenue,Bridgeport,CT,Downtown Stamford,9.4
60013 Wanda Roads,Stamford,CT,East Hartford,2.7
160 Eric Fall,Syracuse,NY,Upper East Side,8.0
191 Vincent Club,New York,NY,East Bronx,5.7
5230 Brian Lights,New Haven,CT,Downtown Stamford,9.4
8829 Webster Trace Suite 753,Paterson,NJ,Downtown Camden,1.3
1354 Adams Gateway Apt. 366,Rochester,NY,West Bronx,1.7
635 Seth Squares Apt. 166,New Haven,CT,North New Haven,7.1
9879 Timothy Spurs Apt. 767,Waterbury,CT,North New Haven,7.1
1319 Kimberly Mountain,Hartford,CT,Downtown New London,3.2
3998 Christopher Fork,Buffalo,NY,Midtown East,2.1
105 Jordan Stravenue,Jersey City,NJ,South Trenton,1.0
358 Lisa Orchard Apt. 241,Hartford,CT,East Hartford,2.7
15447 Hernandez Valley,Bridgeport,CT,South Norwalk,7.0
293 Smith Park,Paterson,NJ,East Elizabeth,4.5
06649 Turner Route Suite 042,New York,NY,North Staten Island,2.0
542 Amanda Track Apt. 804,Buffalo,NY,South Staten Island,6.3
12384 Tanya Ferry Apt. 195,Bridgeport,CT,Downtown New London,3.2
5868 Donna Tunnel,Buffalo,NY,Downtown Manhattan,1.7
2592 Rebecca Parks Apt. 001,Albany,NY,Lower East Side,6.8
866 Lopez Views Apt. 401,Jersey City,NJ,East Elizabeth,4.5
755 Kristina Lodge,New York,NY,Midtown West,6.1
8751 Johnson Ford,Stamford,CT,South Norwalk,7.0
0298 Lauren Via,Trenton,NJ,South Trenton,1.0
2230 Jimenez Road Apt. 703,Hartford,CT,North New Haven,7.1
3236 Kathleen Branch Apt. 627,New Haven,CT,North New Haven,7.1
662 Justin Tunnel,Stamford,CT,North New Haven,7.1
714 Dawn Club,Albany,NY,Upper East Side,8.0
095 Mary Fields Suite 790,Waterbury,CT,East Hartford,2.7
2688 Meza Pass,Hartford,CT,South Norwalk,7.0
5237 Christensen Branch Apt. 857,Paterson,NJ,Mid New Brunswick,7.6
516 Morgan Inlet Suite 569,New York,NY,Upper West Side,7.7
870 Thompson Haven,Buffalo,NY,Lower West Side,1.5
37509 Amy Cliffs Suite 390,Stamford,CT,East Hartford,2.7
7245 Cruz Forest Suite 499,Rochester,NY,Lower East Side,6.8
0005 Martinez Crest,Bridgeport,CT,North New Haven,7.1
5023 Deborah Stravenue,Bridgeport,CT,East Hartford,2.7
7304 Pugh Camp Suite 334,Buffalo,NY,Northern Queens,9.3
80467 Richard Isle Suite 420,Bridgeport,CT,North New Haven,7.1
048 Michael Ville,Newark,NJ,Mid New Brunswick,7.6
7657 Jessica Crest Apt. 604,Newark,NJ,Downtown Camden,1.3
3766 Luis Expressway Apt. 755,New York,NY,Midtown West,6.1
3459 Watkins Ports,Syracuse,NY,Midtown East,2.1
6731 Angela Fields,Trenton,NJ,South Trenton,1.0
526 Manning Isle,Waterbury,CT,North New Haven,7.1
093 Obrien Road Apt. 305,Syracuse,NY,Midtown West,6.1
70865 Ball Mill,Stamford,CT,East Hartford,2.7
693 Schwartz Wells,Buffalo,NY,North Staten Island,2.0
125 Rachel Manors Apt. 266,Paterson,NJ,East Elizabeth,4.5
7105 Candice Junctions Apt. 256,New York,NY,South Staten Island,6.3
55936 Greene Spur,New York,NY,Downtown Manhattan,1.7
597 Vanessa Drive,New York,NY,Upper East Side,8.0
72024 Eaton Wall,Waterbury,CT,East Hartford,2.7
74450 Wilkinson Valleys Apt. 977,Jersey City,NJ,South Trenton,1.0
4958 Black Junction,Stamford,CT,South Norwalk,7.0
82999 Davis Corners,Trenton,NJ,South Trenton,1.0
715 Kaitlin Walks Apt. 224,Syracuse,NY,South Staten Island,6.3
90173 Joseph Shore,Waterbury,CT,Downtown Stamford,9.4
1918 John Gateway,Waterbury,CT,Downtown Stamford,9.4
750 Isaac Lodge Apt. 447,Syracuse,NY,Downtown Manhattan,1.7
056 Susan Manors,Newark,NJ,South Trenton,1.0
732 Cynthia Springs,Elizabeth,NJ,South Trenton,1.0
76310 Green Fords,Waterbury,CT,South Norwalk,7.0
3128 Munoz Cape,Stamford,CT,East Hartford,2.7
862 Fletcher Row,Paterson,NJ,South Trenton,1.0
72704 Wilson Port,Hartford,CT,South Norwalk,7.0
5078 Miranda Forge Suite 552,Bridgeport,CT,South Norwalk,7.0
66966 Amanda Grove,Trenton,NJ,East Elizabeth,4.5
1932 Carrillo Turnpike Apt. 539,New York,NY,South Bronx,3.6
7570 Caroline Station,Trenton,NJ,East Elizabeth,4.5
560 James Turnpike Suite 233,Hartford,CT,South Norwalk,7.0
4765 Patricia Causeway Apt. 410,Newark,NJ,Downtown Camden,1.3
55427 Clarke Pine Suite 686,Jersey City,NJ,South Trenton,1.0
6091 Dickson Springs Suite 201,Newark,NJ,East Elizabeth,4.5
28540 Ortiz Rapids Apt. 093,Buffalo,NY,Midtown West,6.1
8914 Andrew Isle Suite 709,Paterson,NJ,Downtown Camden,1.3
69598 Long Crescent Apt. 933,Trenton,NJ,Downtown Camden,1.3
09320 Sutton Expressway Apt. 664,Albany,NY,East Bronx,5.7
413 Morales Plains Apt. 949,Paterson,NJ,East Elizabeth,4.5
463 Cannon Camp Suite 434,Syracuse,NY,Lower West Side,1.5
169 Lauren Mill Suite 940,Jersey City,NJ,Downtown Camden,1.3
0638 Odom Unions,Buffalo,NY,Midtown East,2.1
5978 Turner Parkway Suite 691,Bridgeport,CT,South Norwalk,7.0
934 Cox Crossing,Newark,NJ,Downtown Camden,1.3
3721 Grace Island Apt. 618,Syracuse,NY,Midtown West,6.1
0942 Kara Course Apt. 037,Jersey City,NJ,Mid New Brunswick,7.6
09481 Margaret Manors Apt. 429,Trenton,NJ,Downtown Camden,1.3
5400 Evan Cliff Suite 630,Elizabeth,NJ,South Trenton,1.0
1178 Anna Estates Apt. 653,Hartford,CT,East Hartford,2.7
24673 Moore Falls,Syracuse,NY,Northern Queens,9.3
31940 Lewis Burg,Buffalo,NY,Lower East Side,6.8
11382 Harris Alley Suite 029,Syracuse,NY,South Staten Island,6.3
24302 Sweeney Forge,New York,NY,West Bronx,1.7
866 Jesse Summit,Buffalo,NY,North Staten Island,2.0
450 Ellis Drive Suite 537,Hartford,CT,North New Haven,7.1
21209 Johnson Views Apt. 407,Syracuse,NY,Upper West Side,7.7
762 Collins Isle,Waterbury,CT,Downtown New London,3.2
9856 Joseph Port,Bridgeport,CT,Downtown Stamford,9.4
98174 Young Underpass Apt. 970,Albany,NY,North Staten Island,2.0
935 Peterson Alley Suite 374,Newark,NJ,Downtown Camden,1.3
160 Patrick Fort,Hartford,CT,South Norwalk,7.0
618 Davis Ranch Apt. 789,Albany,NY,Midtown East,2.1
265 Shannon Radial,Waterbury,CT,North New Haven,7.1
806 Mitchell Manor Apt. 483,Syracuse,NY,Upper East Side,8.0
46596 Pena Inlet,New York,NY,Lower East Side,6.8
24167 Hood Mall Apt. 993,Hartford,CT,Downtown New London,3.2
8272 Rebecca Shores Apt. 222,New York,NY,South Bronx,3.6
1853 Heather Plaza,Hartford,CT,South Norwalk,7.0
41980 Lang Knolls Apt. 253,New York,NY,Northern Queens,9.3
79288 Chris Causeway Suite 952,New Haven,CT,Downtown New London,3.2
395 Lee Field,Hartford,CT,South Norwalk,7.0
331 Nancy Overpass,Newark,NJ,Downtown Camden,1.3
872 Smith Fields,Buffalo,NY,Downtown Brooklyn,4.8
813 White Roads,Jersey City,NJ,Mid New Brunswick,7.6
58873 Salinas Walk,Elizabeth,NJ,South Trenton,1.0
566 Raymond Port Apt. 892,Hartford,CT,Downtown Stamford,9.4
1519 Michael Rest,New York,NY,Downtown Manhattan,1.7
314 Harmon Ranch Suite 976,New York,NY,Lower East Side,6.8
211 Ellis Causeway Apt. 257,Newark,NJ,South Trenton,1.0
9212 Fields Corner,Jersey City,NJ,South Trenton,1.0
77047 Patel Union,Buffalo,NY,North Staten Island,2.0
4984 Jennifer Harbors Suite 038,New York,NY,Lower East Side,6.8
64460 Conway Pines Suite 534,Hartford,CT,Downtown New London,3.2
49827 George Overpass,Buffalo,NY,West Bronx,1.7
823 Paul Rapids Apt. 181,Stamford,CT,South Norwalk,7.0
19047 Michael Ford Apt. 215,Waterbury,CT,Downtown New London,3.2
700 Weiss Walk Apt. 813,New York,NY,North Staten Island,2.0
8097 Pratt Divide Apt. 577,Bridgeport,CT,East Hartford,2.7
514 Carla Station,New York,NY,South Staten Island,6.3
372 Jerry Road,Rochester,NY,Upper East Side,8.0
5404 Chan Spring Apt. 138,Waterbury,CT,Downtown Stamford,9.4
601 Elizabeth Trail,Paterson,NJ,South Trenton,1.0
8045 Amy Prairie,Newark,NJ,South Trenton,1.0
113 James Orchard,Stamford,CT,Downtown New London,3.2
305 Reese Walk Suite 051,Stamford,CT,North New Haven,7.1
7614 Patrick Courts Suite 481,Paterson,NJ,South Trenton,1.0
57620 Arnold Course,Bridgeport,CT,South Norwalk,7.0
781 Rodriguez Fork,New Haven,CT,East Hartford,2.7
09027 Tina Ramp Suite 493,Rochester,NY,Lower East Side,6.8
8925 Morrison Dam Apt. 384,Trenton,NJ,South Trenton,1.0
309 Arias Mountain,Waterbury,CT,South Norwalk,7.0
21088 Morgan Rest Suite 051,Buffalo,NY,West Bronx,1.7
7996 Christensen Ford Apt. 670,Jersey City,NJ,South Trenton,1.0
4977 Walsh Knolls Apt. 035,Elizabeth,NJ,South Trenton,1.0
3582 Christina Burg Apt. 735,Paterson,NJ,South Trenton,1.0
4003 Anthony Stravenue,Rochester,NY,South Bronx,3.6
14902 Gardner Locks,Rochester,NY,South Staten Island,6.3
334 Amanda Mount,Syracuse,NY,South Staten Island,6.3
33330 Brittany Coves,Paterson,NJ,Downtown Camden,1.3
014 Steven Mews,Elizabeth,NJ,Mid New Brunswick,7.6
97974 Brock Pass,Newark,NJ,Downtown Camden,1.3
385 Shannon Forest,Hartford,CT,Downtown New London,3.2
743 Katelyn Trace Apt. 281,Albany,NY,South Staten Island,6.3
6019 Moore Heights,Newark,NJ,Mid New Brunswick,7.6
0097 Pratt Stream Apt. 289,Jersey City,NJ,Mid New Brunswick,7.6
031 Brian Mountain,Rochester,NY,West Bronx,1.7
6020 Graham Cliffs,Stamford,CT,South Norwalk,7.0
0956 Farmer Drives Suite 717,Jersey City,NJ,East Elizabeth,4.5
5788 Brenda Valleys,Syracuse,NY,Downtown Manhattan,1.7
929 John Mills Apt. 457,Elizabeth,NJ,Mid New Brunswick,7.6
039 Chelsea Square Suite 408,Bridgeport,CT,South Norwalk,7.0
289 Williams Turnpike Suite 150,Hartford,CT,Downtown Stamford,9.4
359 Johnathan Roads,New Haven,CT,East Hartford,2.7
361 Miller Shoal Apt. 927,Paterson,NJ,Downtown Camden,1.3
03074 Courtney Divide Apt. 641,Rochester,NY,Lower East Side,6.8
468 Victoria Oval,Waterbury,CT,Downtown Stamford,9.4
8707 Hughes Station,New Haven,CT,Downtown Stamford,9.4
799 Bruce Stream,Waterbury,CT,Downtown Stamford,9.4
7323 Sims Parkways,New Haven,CT,East Hartford,2.7
04566 Rodriguez Plains Suite 459,Waterbury,CT,Downtown Stamford,9.4
371 Amy Dam Suite 073,Elizabeth,NJ,Downtown Camden,1.3
58239 Branch Valley,Stamford,CT,Downtown New London,3.2
573 Davies Extension,Hartford,CT,North New Haven,7.1
130 Fox Roads,Buffalo,NY,Upper West Side,7.7
6023 Andrew Well,Albany,NY,South Bronx,3.6
3448 Peter Radial Suite 049,Elizabeth,NJ,Downtown Camden,1.3
7347 Garcia Drives,Stamford,CT,East Hartford,2.7
0978 Campos Ridges Apt. 012,New Haven,CT,East Hartford,2.7
3553 Bird Heights,New Haven,CT,South Norwalk,7.0
4700 Dawn Pine,Elizabeth,NJ,East Elizabeth,4.5
41900 Gardner Park Apt. 382,Paterson,NJ,Mid New Brunswick,7.6
985 Watts Lane,New Haven,CT,Downtown Stamford,9.4
409 Johnson Prairie Suite 242,Hartford,CT,Downtown Stamford,9.4
435 Armstrong Mount Apt. 817,New Haven,CT,Downtown New London,3.2
0352 Gina Field,New York,NY,Northern Queens,9.3
9805 Williams Path Apt. 137,Hartford,CT,South Norwalk,7.0
0654 Corey Trail,Waterbury,CT,Downtown Stamford,9.4
905 Riley Squares,Newark,NJ,Mid New Brunswick,7.6
638 Amy Mill,Jersey City,NJ,Mid New Brunswick,7.6
6649 Barbara Landing Suite 071,Stamford,CT,South Norwalk,7.0
0995 Jimenez Mission,Buffalo,NY,Midtown East,2.1
79108 Griffin Harbors,Buffalo,NY,Upper West Side,7.7
2571 Doyle Trail Apt. 387,Hartford,CT,Downtown Stamford,9.4
55216 Lisa Corners Apt. 137,New York,NY,Downtown Brooklyn,4.8
058 Hoover Circles Suite 175,Bridgeport,CT,East Hartford,2.7
7132 Tamara Lakes,Buffalo,NY,Midtown East,2.1
327 Rivera Lakes Apt. 237,Paterson,NJ,Downtown Camden,1.3
189 Lisa Plaza Suite 761,Trenton,NJ,Mid New Brunswick,7.6
34970 Nicholas Highway Suite 091,Bridgeport,CT,East Hartford,2.7
138 Browning Summit,Stamford,CT,East Hartford,2.7
85204 Jon Mall,Syracuse,NY,Lower West Side,1.5
892 Kevin Street Suite 322,Waterbury,CT,North New Haven,7.1
409 Fleming Ramp,Buffalo,NY,Lower West Side,1.5
55697 Bryan Knolls,New York,NY,West Bronx,1.7
89247 Kyle Loop Apt. 604,Waterbury,CT,East Hartford,2.7
4605 Elizabeth Trace,Newark,NJ,South Trenton,1.0
9146 Matthew Spurs,New Haven,CT,East Hartford,2.7
621 Katherine Route,Bridgeport,CT,Downtown Stamford,9.4
265 Colleen Dam,Jersey City,NJ,Mid New Brunswick,7.6
09601 James Locks Apt. 421,Elizabeth,NJ,South Trenton,1.0
4885 Catherine Port Suite 125,Syracuse,NY,Upper West Side,7.7
224 Adam Forge Suite 666,Elizabeth,NJ,Downtown Camden,1.3
6614 Mahoney Trace Apt. 288,Hartford,CT,South Norwalk,7.0
9135 Brady Court,Hartford,CT,North New Haven,7.1
016 Castro Cove Suite 735,Buffalo,NY,Downtown Brooklyn,4.8
1786 Stanley Locks,Buffalo,NY,South Staten Island,6.3
880 Christopher Lodge,Buffalo,NY,Midtown East,2.1
82817 Howell Mills,New Haven,CT,East Hartford,2.7
7224 Armstrong Grove,Rochester,NY,Midtown East,2.1
1401 Strickland Junctions Apt. 732,Hartford,CT,East Hartford,2.7
168 Daniels Centers Suite 518,Buffalo,NY,South Staten Island,6.3
14485 Odonnell Path,Jersey City,NJ,Downtown Camden,1.3
7332 Mark Forest,New York,NY,Upper East Side,8.0
81298 Joshua Street,Waterbury,CT,East Hartford,2.7
13401 Bobby Pines,Rochester,NY,Downtown Brooklyn,4.8
97952 Morales Cliff,Elizabeth,NJ,East Elizabeth,4.5
7303 Doris Garden,Bridgeport,CT,North New Haven,7.1
52886 Chandler Harbor Apt. 198,Syracuse,NY,Lower East Side,6.8
2072 Bruce Green,Paterson,NJ,South Trenton,1.0
21747 Farrell Stravenue,Albany,NY,West Bronx,1.7
340 Christina Tunnel Suite 821,Albany,NY,South Staten Island,6.3
77571 Ronnie Gateway Apt. 786,New York,NY,Northern Queens,9.3
9773 Davis Mission,Albany,NY,Lower West Side,1.5
90401 Justin Curve,Hartford,CT,East Hartford,2.7
2698 Timothy Fords,Syracuse,NY,Downtown Brooklyn,4.8
30074 Nancy Mount,Paterson,NJ,Downtown Camden,1.3
9115 Williams Glen Apt. 201,Trenton,NJ,South Trenton,1.0
13315 Jennifer Stream Suite 096,Hartford,CT,Downtown Stamford,9.4
7182 John Burgs,Hartford,CT,South Norwalk,7.0
14859 Peterson Forges,Hartford,CT,North New Haven,7.1
6550 Brown Vista Apt. 190,Buffalo,NY,Northern Queens,9.3
0907 Williams Junctions Apt. 386,Bridgeport,CT,North New Haven,7.1
18038 Anthony Islands,New York,NY,Northern Queens,9.3
500 Gabrielle Brooks Suite 495,Waterbury,CT,North New Haven,7.1
2140 Ruiz Estates,Waterbury,CT,South Norwalk,7.0
248 Michael Prairie Suite 352,Stamford,CT,Downtown Stamford,9.4
867 James Mall,Rochester,NY,Downtown Manhattan,1.7
5296 Jimmy Cove Apt. 755,Waterbury,CT,Downtown New London,3.2
39259 William Bypass,Paterson,NJ,Downtown Camden,1.3
46465 Kevin Junction Apt. 611,Hartford,CT,Downtown Stamford,9.4
597 Rose Ports,Newark,NJ,South Trenton,1.0
9459 Brandi Club Apt. 051,Hartford,CT,East Hartford,2.7
1519 Patterson Square,Buffalo,NY,West Bronx,1.7
872 Anderson Knoll Suite 636,Newark,NJ,South Trenton,1.0
835 Howe Row,Trenton,NJ,East Elizabeth,4.5
20907 Carpenter Path Suite 986,Buffalo,NY,West Bronx,1.7
8134 Williams Avenue,Bridgeport,CT,Downtown Stamford,9.4
7060 Nelson Union Suite 956,New York,NY,Lower West Side,1.5
7529 Tamara Ramp Suite 940,Stamford,CT,East Hartford,2.7
8083 Kyle Roads,Jersey City,NJ,East Elizabeth,4.5
38642 Richardson Trafficway Apt. 349,Rochester,NY,South Bronx,3.6
166 Black Junction Suite 498,Hartford,CT,Downtown New London,3.2
351 Crystal Hollow Suite 891,Stamford,CT,South Norwalk,7.0
214 Paige Rapids,Syracuse,NY,Lower West Side,1.5
94818 Juan Rapids,Bridgeport,CT,Downtown New London,3.2
660 Kimberly Mills,Trenton,NJ,Downtown Camden,1.3
219 Kristin Keys,Albany,NY,Midtown West,6.1
983 Elizabeth Radial Apt. 515,Albany,NY,Downtown Brooklyn,4.8
699 Daniel Glen,New York,NY,West Bronx,1.7
6626 Hampton Turnpike,Bridgeport,CT,South Norwalk,7.0
0022 Bethany Hollow,Paterson,NJ,Mid New Brunswick,7.6
2377 Marquez Mills,Bridgeport,CT,East Hartford,2.7
8617 Hodges Meadow Apt. 255,Jersey City,NJ,Mid New Brunswick,7.6
18971 King Extension Suite 034,Newark,NJ,East Elizabeth,4.5
0075 Martin Forks Apt. 920,New York,NY,Upper East Side,8.0
904 Jimenez Avenue Apt. 484,Paterson,NJ,East Elizabeth,4.5
819 Amber Springs,Stamford,CT,East Hartford,2.7
068 Heath Inlet Apt. 235,Paterson,NJ,South Trenton,1.0
711 Lucas Unions Suite 793,Trenton,NJ,South Trenton,1.0
707 Michael Heights,New York,NY,South Staten Island,6.3
854 Robinson Coves Apt. 526,Albany,NY,Northern Queens,9.3
2175 Wilcox Ridges Apt. 774,Newark,NJ,Downtown Camden,1.3
14008 Nunez Corner Apt. 723,Hartford,CT,North New Haven,7.1
6928 Weaver Island,Rochester,NY,Lower West Side,1.5
833 Amber Parkways,Trenton,NJ,South Trenton,1.0
4817 Bright Spurs Apt. 156,Albany,NY,Upper West Side,7.7
4795 Robert Landing Apt. 012,Bridgeport,CT,Downtown New London,3.2
4068 Michael Forks,Waterbury,CT,Downtown Stamford,9.4
2476 Chambers Trafficway,Syracuse,NY,West Bronx,1.7
36471 Virginia Courts Apt. 377,Albany,NY,Northern Queens,9.3
66724 Nicholas Mission,Trenton,NJ,East Elizabeth,4.5
474 Charles Mountain,Buffalo,NY,South Staten Island,6.3
60663 Robert Stravenue,New York,NY,West Bronx,1.7
9597 Hernandez Mount Apt. 587,Waterbury,CT,Downtown Stamford,9.4
3379 Alexander View,Waterbury,CT,Downtown Stamford,9.4
94821 Michael Manors,Paterson,NJ,South Trenton,1.0
6703 Green Isle,Stamford,CT,South Norwalk,7.0
70239 Jones Crescent Apt. 962,Waterbury,CT,South Norwalk,7.0
08022 Brown Viaduct,Waterbury,CT,East Hartford,2.7
19664 Wallace Trafficway Apt. 606,Rochester,NY,South Bronx,3.6
613 Timothy Vista Apt. 942,Stamford,CT,North New Haven,7.1
6221 Norton Lane Apt. 142,Rochester,NY,Downtown Manhattan,1.7
5731 Tran Skyway,Newark,NJ,Downtown Camden,1.3
4698 Davis Cape,Albany,NY,Lower West Side,1.5
9396 King Cape,Syracuse,NY,South Staten Island,6.3
7475 Mcdonald Drives,Stamford,CT,North New Haven,7.1
899 Brown Brook,Bridgeport,CT,Downtown New London,3.2
4538 Hanson Manors Apt. 094,Hartford,CT,North New Haven,7.1
7869 Daniel Pines Apt. 990,Newark,NJ,Downtown Camden,1.3
88175 Tyrone Unions,Syracuse,NY,Lower East Side,6.8
2583 Soto Parks,Newark,NJ,Downtown Camden,1.3
335 Mitchell Alley Suite 290,Syracuse,NY,East Bronx,5.7
1183 Adrian Cape Apt. 035,Trenton,NJ,East Elizabeth,4.5
694 Jeremy Streets Suite 799,Buffalo,NY,Upper East Side,8.0
82689 Jasmine Highway,Bridgeport,CT,Downtown Stamford,9.4
925 Walsh Vista,Syracuse,NY,South Staten Island,6.3
040 Marcus Pine Apt. 027,Trenton,NJ,Downtown Camden,1.3
0607 Ryan Camp,New York,NY,Lower East Side,6.8
8487 Munoz Station,New York,NY,South Staten Island,6.3
0774 Bryan Spurs Apt. 314,Rochester,NY,East Bronx,5.7
2690 Peter Lights Suite 476,Rochester,NY,North Staten Island,2.0
444 Lee Shoals,Waterbury,CT,East Hartford,2.7
2310 Luke Tunnel,Elizabeth,NJ,Downtown Camden,1.3
05372 Stevens Lights,Elizabeth,NJ,Mid New Brunswick,7.6
8904 Thomas Extension,Newark,NJ,Downtown Camden,1.3
7868 Sarah Circle,Hartford,CT,Downtown Stamford,9.4
06923 Brown Squares Apt. 526,Syracuse,NY,Midtown East,2.1
8218 Henderson Inlet Suite 924,New York,NY,South Bronx,3.6
8488 Steven Mountains,Jersey City,NJ,Downtown Camden,1.3
74121 Sherry Heights,Stamford,CT,East Hartford,2.7
